lat,lon,date,confirmed,recovered,death
33.8034,-84.3963,3/12/20,0,0,0
45.547,-123.1386,3/12/20,0,0,0
48.033,-121.8339,3/12/20,0,0,0
40.745,-123.8695,3/12/20,0,0,0
38.4747,-121.3542,3/12/20,0,0,0
32.7157,-117.1611,3/12/20,0,0,0
36.5761,-120.9876,3/12/20,0,0,0
34.0522,-118.2437,3/12/20,0,0,0
47.6062,-122.3321,3/12/20,0,0,0
41.7377,-87.6976,3/12/20,0,0,0
48.4242,-121.7114,3/12/20,0,0,0
46.8646,-122.7696,3/12/20,0,0,0
48.1976,-122.5795,3/12/20,0,0,0
48.8787,-121.9719,3/12/20,0,0,0
38.0834,-122.7633,3/12/20,0,0,0
38.196,-120.6805,3/12/20,0,0,0
37.5091,-120.9876,3/12/20,0,0,0
36.6066,-120.189,3/12/20,0,0,0
42.632,-70.7829,3/12/20,0,0,0
30.7917,-82.0843,3/12/20,0,0,0
26.07,-81.4279,3/12/20,0,0,0
27.8764,-82.7779,3/12/20,0,0,0
29.7938,-82.4944,3/12/20,0,0,0
30.5927,-81.8224,3/12/20,0,0,0
28.3232,-82.4319,3/12/20,0,0,0
32.7767,-96.79700000000000,3/12/20,0,0,0
32.7732,-97.3517,3/12/20,0,0,0
30.3883,-95.6963,3/12/20,0,0,0
40.5726,-74.4927,3/12/20,0,0,0
39.58,-105.2663,3/12/20,0,0,0
45.5146,-122.5863,3/12/20,0,0,0
44.9267,-123.4919,3/12/20,0,0,0
43.8325,-121.2617,3/12/20,0,0,0
42.3334,-88.2668,3/12/20,0,0,0
42.3689,-87.8272,3/12/20,0,0,0
40.4108,-75.2479,3/12/20,0,0,0
37.7772,-77.5161,3/12/20,0,0,0
34.7253,-80.6771,3/12/20,0,0,0
36.4933,-82.3452,3/12/20,0,0,0
39.4638,-86.1345,3/12/20,0,0,0
40.4483,-86.1345,3/12/20,0,0,0
41.6228,-86.3377,3/12/20,0,0,0
42.6712,-97.8722,3/12/20,0,0,0
40.8685,-81.2519,3/12/20,0,0,0
45.3293,-93.2197,3/12/20,0,0,0
43.9952,-92.3814,3/12/20,0,0,0
40.8298,-110.9984,3/12/20,0,0,0
41.256,-73.3709,3/12/20,0,0,0
41.7866,-73.2765,3/12/20,0,0,0
29.9511,-90.0715,3/12/20,0,0,0
43.8901,-102.2548,3/12/20,0,0,0
44.4797,-98.2213,3/12/20,0,0,0
43.0985,-98.3965,3/12/20,0,0,0
43.7242,-98.2213,3/12/20,0,0,0
43.6632,-96.8351,3/12/20,0,0,0
42.9815,-97.8722,3/12/20,0,0,0
33.8837,-106.7235,3/12/20,0,0,0
35.0178,-106.6291,3/12/20,0,0,0
42.5922,-83.3362,3/12/20,0,0,0
42.2791,-83.3362,3/12/20,0,0,0
39.5393,-75.6674,3/12/20,0,0,0
22.0,-80.0,3/12/20,3,0,0
5.0,-58.75,3/12/20,1,0,1
